64137.82364,8961.56791,157.5661678,64141.02508,8965.664629,157.6414039
64137.82231,8961.568989,157.5664206,64141.02376,8965.665692,157.6416722
64137.81748,8961.572795,157.5672302,64141.01898,8965.669462,157.6422993
64137.81571,8961.574164,157.5674153,64141.01721,8965.670832,157.6424267
64137.81372,8961.575597,157.5675636,64141.01515,8965.672322,157.6425969
64137.81148,8961.577187,157.5678472,64141.01286,8965.673956,157.6426668
64137.80905,8961.578939,157.5680605,64141.01036,8965.675759,157.6427298
64137.80638,8961.580855,157.5683024,64141.00761,8965.677743,157.6429296
64137.80348,8961.583012,157.5686769,64141.00467,8965.679934,157.6431635
64137.80037,8961.585473,157.5690197,64141.00158,8965.682379,157.6434856
64137.79701,8961.58814,157.5693738,64140.99825,8965.685024,157.6438554
64137.79335,8961.590942,157.5699138,64140.99458,8965.687838,157.6443826
64137.78946,8961.59406,157.5702368,64140.99072,8965.690924,157.6450486
64137.78206,8961.599225,157.5714206,64140.98346,8965.695975,157.6463109
64137.7776,8961.60282,157.5720431,64140.97909,8965.699498,157.6468965
64137.77291,8961.606638,157.5724946,64140.97451,8965.703239,157.6474926
64137.76815,8961.610496,157.5729651,64140.96968,8965.707142,157.6480127
64137.76302,8961.614675,157.5734428,64140.96469,8965.711216,157.6484275
64137.75755,8961.619172,157.5738865,64140.95954,8965.715461,157.6488132
64137.75206,8961.623631,157.5743014,64140.95419,8965.719815,157.6490926
64137.74643,8961.628104,157.5744417,64140.94864,8965.724227,157.6490775
64137.73674,8961.635986,157.5709861,64140.93899,8965.732076,157.6457663
64137.73104,8961.640537,157.5706757,64140.93321,8965.73669,157.6452869
64137.7251,8961.645321,157.5699419,64140.92737,8965.741392,157.6448163
64137.71908,8961.650138,157.5690524,64140.92142,8965.746155,157.6441434
64137.71297,8961.655032,157.5681634,64140.91537,8965.75099,157.6434348
64137.70676,8961.660031,157.5671582,64140.90929,8965.755895,157.6424843
64137.70051,8961.665127,157.5657797,64140.90317,8965.760887,157.6413604
64137.6942,8961.670304,157.5641809,64140.897,8965.765949,157.6400621
64137.6878,8961.675524,157.5625369,64140.89076,8965.771043,157.6385195
64137.68135,8961.680815,157.5607246,64140.88447,8965.776201,157.6367086
64137.66779,8961.692682,157.5596986,64140.87118,8965.787857,157.6356221
64137.66114,8961.698027,157.5578368,64140.86465,8965.793108,157.6336787
64137.65446,8961.703358,157.5555907,64140.85804,8965.798375,157.6319131
64137.64773,8961.708597,157.5533771,64140.8513,8965.803612,157.6301501
64137.64091,8961.713735,157.5512624,64140.84442,8965.808797,157.6281934
64137.63389,8961.719026,157.5492526,64140.83748,8965.814013,157.6265826
64137.62699,8961.724206,157.5471615,64140.83052,8965.819241,157.624913
64137.62008,8961.729433,157.5449561,64140.82357,8965.824489,157.6231758
64137.61321,8961.73473,157.5421684,64140.81668,8965.829791,157.6209202
64137.60641,8961.73989,157.5406668,64140.80983,8965.834979,157.6202952
64137.59954,8961.74499,157.5394722,64140.80274,8965.840244,157.6193173
64137.58274,8961.759322,157.5362976,64140.78622,8965.854363,157.6159639
64137.5756,8961.76465,157.5348098,64140.77899,8965.859744,157.614915
64137.56863,8961.770012,157.5331759,64140.77171,8965.865347,157.6131478
64137.5615,8961.775507,157.5310242,64140.76459,8965.870825,157.6116378
64137.55431,8961.780968,157.5294759,64140.75728,8965.876125,157.6102912
64137.54713,8961.786472,157.5278042,64140.7501,8965.881617,157.6093426
64137.53999,8961.792036,157.5262036,64140.74299,8965.887136,157.6085027
64137.53288,8961.797662,157.5245038,64140.73599,8965.89267,157.6071115
64137.51296,8961.812926,157.5222638,64140.71604,8965.907954,157.6052905
64137.50551,8961.818666,157.5209805,64140.70884,8965.913495,157.6041852
64137.4982,8961.824253,157.5201289,64140.70159,8965.919023,157.6036507
64137.49093,8961.829934,157.518508,64140.69429,8965.924732,157.6017247
64137.48363,8961.835646,157.5177084,64140.68715,8965.930331,157.6006361
64137.47635,8961.841333,157.5168523,64140.67999,8965.935925,157.5999081
64137.46908,8961.847056,157.5161375,64140.6728,8965.941567,157.5994931
64137.46176,8961.852746,157.5155253,64140.66554,8965.94721,157.5993066
64137.45441,8961.858357,157.5152274,64140.65816,8965.952841,157.5993402
64137.44709,8961.864052,157.5151261,64140.65084,8965.958517,157.5996904
64137.42725,8961.87748,157.5125183,64140.63074,8965.972137,157.5976961
64137.41986,8961.883239,157.5125767,64140.62335,8965.977888,157.5981241
64137.41244,8961.888985,157.5129414,64140.61594,8965.983629,157.5984404
64137.40504,8961.894752,157.5136273,64140.60856,8965.989383,157.5987696
64137.3977,8961.900481,157.5138756,64140.6012,8965.995131,157.5992047
64137.39038,8961.906074,157.5141138,64140.59379,8966.000798,157.5992909
64137.38304,8961.911593,157.5151269,64140.58648,8966.006297,157.5998387
64137.37594,8961.917053,157.5156414,64140.57914,8966.011949,157.6002138
64137.35708,8961.927736,157.5123104,64140.55971,8966.023075,157.5970148
64137.34977,8961.933278,157.5124989,64140.5523,8966.028707,157.5969512
64137.34251,8961.938822,157.512704,64140.54494,8966.034333,157.5967407
64137.33529,8961.944321,157.5124075,64140.53761,8966.039918,157.5963831
64137.32809,8961.949867,157.5123797,64140.53035,8966.045518,157.5960318
64137.32092,8961.955505,157.512112,64140.52318,8966.051163,157.5956067
64137.31378,8961.961153,157.5116278,64140.51606,8966.0568,157.5949114
64137.30665,8961.966732,157.5108717,64140.5089,8966.062403,157.5941423
64137.29948,8961.972241,157.5101396,64140.50166,8966.067963,157.5933593
